Key,en-us
Studio.AssetImporter.AssetImportTree.Contains,Contains %d %s
Studio.AssetImporter.AssetImportTree.Descendants,Descendants contain %d %s
Studio.AssetImporter.AssetImportTree.Errors,error(s)
Studio.AssetImporter.AssetImportTree.Warnings,warning(s)
Studio.AssetImporter.EnumItem.Back,Back
Studio.AssetImporter.EnumItem.Bottom,Bottom
Studio.AssetImporter.EnumItem.CM,CM
Studio.AssetImporter.EnumItem.Custom,Custom
Studio.AssetImporter.EnumItem.Foot,Foot
Studio.AssetImporter.EnumItem.Front,Front
Studio.AssetImporter.EnumItem.Inch,Inch
Studio.AssetImporter.EnumItem.Left,Left
Studio.AssetImporter.EnumItem.MM,MM
Studio.AssetImporter.EnumItem.Meter,Meter
Studio.AssetImporter.EnumItem.None,No Rig
Studio.AssetImporter.EnumItem.R15,R15
Studio.AssetImporter.EnumItem.Right,Right
Studio.AssetImporter.EnumItem.Rthro,Rthro
Studio.AssetImporter.EnumItem.RthroNarrow,Rthro Narrow
Studio.AssetImporter.EnumItem.Stud,Stud
Studio.AssetImporter.EnumItem.Top,Top
Studio.AssetImporter.Error.Default,Status: {type}
Studio.AssetImporter.Error.DefaultNoStatus,Import failed
Studio.AssetImporter.Error.Header,Failed to open the selected file.
Studio.AssetImporter.Error.WindowTitle,Error
Studio.AssetImporter.HttpError.422,Name was moderated. Please rename and try again.
Studio.AssetImporter.HttpError.429,Upload failed. Endpoint has too many requests - please try again later.
Studio.AssetImporter.HttpError.OK,OK
Studio.AssetImporter.HttpError.UnknownStatusCode,Upload failed. Status Code:
Studio.AssetImporter.HttpError.UploadResultBadIdParse,Could not upload. Asset name may have been rejected by moderation.
Studio.AssetImporter.Plugin.Browse,Browse...
Studio.AssetImporter.Plugin.Button,Import
Studio.AssetImporter.Plugin.Cancel,Cancel
Studio.AssetImporter.Plugin.Close,Close
Studio.AssetImporter.Plugin.Description,Import a mesh rig or avatar from a file using the import UI.
Studio.AssetImporter.Plugin.Import,Import
Studio.AssetImporter.Plugin.ImportConfiguration,Settings for the current import
Studio.AssetImporter.Plugin.Name,AssetImporter
Studio.AssetImporter.Plugin.Toolbar,Mesh Importer
Studio.AssetImporter.Plugin.WindowTitle,Import Preview
Studio.AssetImporter.PreviewTooltip.ResetCam,Reset camera
Studio.AssetImporter.Properties.Anchored,Anchored
Studio.AssetImporter.Properties.DiffuseFilePath,Diffuse File Path
Studio.AssetImporter.Properties.Dimensions,Object Dimensions
Studio.AssetImporter.Properties.DoubleSided,Make Double Sided
Studio.AssetImporter.Properties.FileDimensions,File Dimensions
Studio.AssetImporter.Properties.FilePath,File Path
Studio.AssetImporter.Properties.IgnoreVertexColors,Ignore Vertex Colors
Studio.AssetImporter.Properties.ImportAsModelAsset,Import Only as a Model
Studio.AssetImporter.Properties.ImportName,Name
Studio.AssetImporter.Properties.InsertInWorkspace,Insert In Workspace
Studio.AssetImporter.Properties.InvertNegativeFaces,Invert Negative Faces
Studio.AssetImporter.Properties.Manifold,Manifold
Studio.AssetImporter.Properties.MergeMeshes,Merge Meshes
Studio.AssetImporter.Properties.MetalnessFilePath,Metalness File Path
Studio.AssetImporter.Properties.NoFilePath,No file provided
Studio.AssetImporter.Properties.NormalFilePath,Normal File Path
Studio.AssetImporter.Properties.PolygonCount,Polygon Count
Studio.AssetImporter.Properties.RigType,Rig Type
