Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.CGE.Modal.ConfirmDeletion,Are you sure you want to delete the group "{1}"?,Are you sure you want to delete the group "{1}"?,¿Quieres eliminar el grupo "{1}"?,Es-tu sûr de vouloir supprimer le groupe "{1}" ?,Vuoi davvero cancellare il gruppo "{1}"?,「{1}」のグループを削除してよろしいですか？,'{1}' 그룹을 정말 삭제할까요?,Tem certeza de que deseja apagar o grupo "{1}"?,Удалить группу "{1}"?,确定要删除群组 "{1}"？,确定要删除群组 "{1}"？,確定刪除組合「{1}」？
Studio.CGE.Tooltip.Rename,Rename this group.,Rename this group.,Renombra este grupo.,Renommer ce groupe.,Rinomina questo gruppo.,このグループ名を変更,이 그룹의 이름을 변경합니다.,Renomear este grupo.,Переименовать эту группу.,重命名此群组。,重命名此群组。,重新命名此組合。
Studio.CGE.Actions.TableView,Table View,Table View,Vista de tabla,Vue tableau,Vista Tabelle,テーブル表示,테이블 뷰,Exibição em tabela, ,表格视图,表格视图,表格檢視
Studio.CGE.Common.Yes,Yes,Yes,Sí,Oui,Sì,はい,예,Sim,Да,是,是,是
Studio.CGE.Common.No,No,No,No,Non,No,いいえ,아니요,Não,Нет,否,否,否
Studio.CGE.Groups.DefaultGroupName,Default,Default,Predeterminado,Par défaut,Predefinito,デフォルト,기본값,Padrão,По умолчанию,默认,默认,預設
Studio.CGE.Actions.AddGroup,Add Group,Add Group,Añadir grupo,Ajouter un groupe,Aggiungi gruppo,グループを追加,그룹 추가,Adicionar grupo,Добавить группу,添加群组,添加群组,新增組合
Studio.CGE.Headers.GroupName,Group Name,Group Name,Nombre del grupo,Nom du groupe,Nome del gruppo,グループ名,그룹 이름,Nome do grupo,Имя группы,群组名称,群组名称,組合名稱
Studio.CGE.Tooltip.Delete,Delete this group.,Delete this group.,Elimina este grupo.,Supprimer ce groupe.,Elimina questo gruppo.,このグループを削除。,이 그룹을 삭제합니다.,Excluir este grupo.,Удалить эту группу.,删除此群组。,删除此群组。,刪除此組合。
Studio.CGE.Tooltip.Add,Add the selected parts to this group.,Add the selected parts to this group.,Añade las partes seleccionadas a este grupo.,Ajouter les parties sélectionnées à ce groupe.,Aggiungi le parti selezionate a questo gruppo.,このグループに選択済みのパーツを追加。,선택한 파트를 이 그룹에 추가합니다.,Adicionar as partes selecionadas a este grupo.,Добавить выбранные детали к этой группе.,将选定的部件添加到此群组。,将选定的部件添加到此群组。,將選取零件加入此組合。
Studio.CGE.Main.Title,Collision Groups Editor,Collision Groups Editor,Editor de grupos de colisión,Rédacteur des groupes de collision,Editor gruppi collisione,衝突グループエディタ,충돌 그룹 편집기,Editor de grupos de colisão, ,碰撞组编辑器,碰撞组编辑器,碰撞組合編輯器
Studio.CGE.Actions.ListView,List View,List View,Vista de la lista,Vue Liste,Vista Elenco,リスト表示,목록 뷰,Exibição em lista, ,列表视图,列表视图,清單檢視
Studio.CGE.Info.SelectAGroup,Select a group from the left side.,Select a group from the left side.,Selecciona un grupo del lado izquierdo.,Sélectionner un groupe sur le côté gauche.,Selezionare un gruppo dal lato sinistro.,左側からグループを選ぶ。,왼쪽에서 그룹을 선택하세요.,Selecione um grupo do lado esquerdo., ,从左侧选择群组。,从左侧选择群组。,從左側選擇群組
Studio.CGE.Info.Groups,Groups,Groups,Grupos,Groupes,Gruppi,グループ,그룹,Grupos, ,群组,群组,群組
Studio.CGE.Info.CanCollideWith,"{1}" can collide with:,"{1}" can collide with:,"{1}" puede colisionar con:,"{1}" peut entrer en collision avec :,"{1}" può scontrarsi con:,「{1}」 は以下と衝突が可能:,'{1}'은(는) 다음과 충돌할 수 있음:,"{1}" pode colidir com:, ,“{1}”可以与下列项目碰撞：,“{1}”可以与下列项目碰撞：,「{1}」能與下列項目碰撞：
Studio.CGE.Info.NewGroupName,New Group Name,New Group Name,Nombre del grupo,Nouveau nom de groupe,Nuovo Nome Gruppo,新規グループ名,새 그룹 이름,Novo nome do grupo, ,新群组名称,新群组名称,新群組名稱
Studio.CGE.RenameWarningDialog.WarningMessage,Rename only works for BaseParts in datamodel. It will not change the collision group name for the BasePart instance in asset manager or toolbox.,Rename only works for BaseParts in datamodel. It will not change the collision group name for the BasePart instance in asset manager or toolbox., , , , , , , , , , 
Studio.CGE.RenameWarningDialog.DontShowThisWarningAgain,Don't show this warning again,Don't show this warning again, , , , , , , , , , 
Studio.CGE.RenameWarningDialog.DialogWindowTitle,Renaming Groups Has Changed,Renaming Groups Has Changed, , , , , , , , , , 
Studio.CGE.RenameWarningDialog.Ok,Ok,Ok, , , , , , , , , , 
