Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.App.GenerativeAI.CopiedToClipboard,,,Copied to clipboard,Copied to clipboard,,In Zwischenablage kopiert,Copiado al portapapeles,Copié dans le presse-papier,Tersalin ke clipboard,Copiato negli appunti,クリップボードにコピー済み,클립보드에 복사되었습니다,Skopiowano do schowka,Copiado para a área de transferência,,,Panoya kopyalandı,Đã sao chép vào bộ nhớ tạm,已复制到剪贴板,已复制到剪贴板,
Studio.App.AddImageDialog.ChooseFile,,,Choose File,Choose File,اختيار ملف,Datei auswählen,Seleccionar archivo,Choisir fichier,Pilih File,Scegli file,ファイルを選択,파일 선택,Wybierz plik,Escolher arquivo,Выберите файл,เลือกไฟล์,Dosya seç,Chọn Tệp,选择文件,选择文件,選擇檔案
Studio.App.AddImageDialog.ChooseImageUpload,,,Choose image to upload,Choose image to upload,اختيار صورة لرفعها,Bild zum Hochladen auswählen,Seleccionar imagen para cargar,Choisir une image à transférer,Pilih gambar yang akan di-upload,Scegli l'immagine da caricare,アップロードする画像を選択,업로드할 이미지 선택,Wybierz obraz do przesłania,Escolher imagem para upload,Выберите изображение для загрузки,เลือกภาพที่จะอัปโหลด,Yüklemek için görüntü seç,Chọn hình ảnh để tải lên,选择要上传的图片,选择要上传的图片,選擇要上傳的圖像
Studio.App.AddImageDialog.CreateAssetName,,,Creating asset name...,Creating asset name...,إنشاء اسم للأصل...,Objektname wird erstellt …,Creando nombre del recurso...,Création d'un nom d'asset...,Membuat nama aset...,Creazione del nome risorsa...,アセット名を作成中...,애셋 이름 생성 중...,Tworzenie nazwy zasobu...,Criando nome do ativo...,Создание имени ресурса...,กำลังสร้างชื่อทรัพยากร...,Varlık adı oluşturuluyor...,Đang tạo tên tài sản...,正在创建素材名称...,正在创建素材名称...,正在建立素材名稱……
Studio.App.AddImageDialog.FileDoesNotExist,,,File does not exist,File does not exist,الملف غير موجود,Datei existiert nicht,El archivo no existe,Le fichier n'existe pas.,File tidak ada,Il file non esiste,ファイルが存在しません,파일이 없어요,Plik nie istnieje,O arquivo não existe,Файл не существует,ไม่มีไฟล์อยู่,Dosya mevcut değil,Tệp không tồn tại,文件不存在,文件不存在,檔案不存在
Studio.App.AddImageDialog.Image,,,Image:,Image:,الصورة:,Bild:,Imagen:,Image :,Gambar:,Immagine:,画像:,이미지:,Obraz:,Imagem:,Изображение:,ภาพ:,Görüntü:,Hình Ảnh:,图片:,图片:,圖像：
Studio.App.AddImageDialog.ImageFileRequired,,,Image file is required,Image file is required,ملف الصورة مطلوب,Bilddatei ist erforderlich,Se requiere el archivo de la imagen,Fichier d'image requis,File gambar diperlukan,Serve un file immagine,画像ファイルが必要です,이미지 파일은 필수 항목입니다,Plik obrazu jest wymagany,É necessário um arquivo de imagem,Требуется файл изображения,จำเป็นต้องมีไฟล์ภาพ,Görüntü dosyası gerekli,Phải có tệp hình ảnh,需要图片文件,需要图片文件,需要圖像檔案
Studio.App.AddImageDialog.Name,,,Name:,Name:,الاسم:,Name:,Nombre:,Nom :,Nama:,Nome:,名前:,이름:,Nazwa:,Nome:,Имя:,ชื่อ:,Ad:,Tên:,名称:,名称:,名稱：
Studio.App.AutoSaveDialog.ConfirmAutoSaveDelete,,,Confirm Auto-Save Delete,Confirm Auto-Save Delete,تأكيد حذف الحفظ التلقائي,Löschen von automatischer Speicherung bestätigen,Confirmar eliminación de guardado automático,Confirmer la suppression de la sauvegarde automatique,Konfirmasi Penghapusan Simpan Otomatis,Conferma eliminazione autosalvataggio,自動保存の削除を確認,자동 저장 삭제 확인,Potwierdź usunięcie autozapisu,Confirmar exclusão do salvamento automático,Подтвердите удаление автоматически сохраненных файлов,ยืนยันการลบการบันทึกโดยอัตโนมัติ,Otomatik Kayıt silinmesini onayla,Xác Nhận Tự Động Lưu Xóa,确认删除自动保存,确认删除自动保存,確認刪除自動儲存
